Date,Time,IonicID,Ticker,Type,Shares,Price,Broker,Stamp,Total,NonCash,Note
2/10/2018,00:00,,,Charges,,,,,4,,""
9/10/2018,00:00,,,Interest,,,,,0.18,,"Interest"
3/11/2018,00:00,,,Charges,,,,,4.45,,""
9/11/2018,00:00,,,Interest,,,,,0.19,,""
23/11/2018,00:00,,,Credit,,,,,858,,"Employer Contribution"
26/11/2018,00:00,,,Credit,,,,,858,,"Employer Contribution"
5/12/2018,00:00,,,Charges,,,,,4.51,,""
6/12/2018,00:00,,,Credit,,,,,858,,"Employer Contribution"
9/12/2018,21:28,,,Interest,,,,,0.19,,""
3/1/2019,00:00,,,Credit,,,,,858,,"Employer Contribution"
4/1/2019,00:00,,,Charges,,,,,4.86,,""
9/1/2019,00:00,,,Interest,,,,,0.21,,""
4/2/2019,00:00,,,Charges,,,,,5.61,,""
8/2/2019,00:00,,,Credit,,,,,858,,"Employer Contribution"
9/2/2019,00:00,,,Interest,,,,,0.23,,""
11/2/2019,09:00,,,Credit,,,,,1500,,"Bonus"
4/3/2019,00:00,,,Charges,,,,,5.48,,"Management Fee"
6/3/2019,00:00,,,Credit,,,,,858,,"Employer Contribution"
9/3/2019,00:00,,,Interest,,,,,0.33,,""
1/4/2019,00:00,,,Credit,,,,,858,,"Employer Contribution"
2/4/2019,00:00,,,Charges,,,,,6.58,,""
9/4/2019,00:00,,,Interest,,,,,0.36,,""
3/5/2019,00:00,,,Charges,,,,,6.81,,""
9/5/2019,00:00,,,Interest,,,,,0.31,,""
14/5/2019,00:00,,,Credit,,,,,858,,"Employer Contribution"
22/5/2019,00:00,,,Credit,,,,,0.01,,"Micro Focus International Net Fraction"
4/6/2019,00:00,,,Charges,,,,,7.08,,""
6/6/2019,00:00,,,Credit,,,,,844.26,,"Employer Contribution"
9/6/2019,00:00,,,Interest,,,,,0.35,,""
14/6/2019,00:00,,,Credit,,,,,4.44,,"Micro Focus International Net Fraction"
2/7/2019,00:00,,,Charges,,,,,7.08,,""
3/7/2019,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
9/7/2019,00:00,,,Interest,,,,,0.33,,""
2/8/2019,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
2/8/2019,00:00,,,Charges,,,,,7.6,,""
9/8/2019,00:00,,,Interest,,,,,0.39,,""
16/8/2019,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
4/9/2019,00:00,,,Charges,,,,,7.15,,""
9/9/2019,00:00,,,Interest,,,,,0.51,,""
2/10/2019,00:00,,,Charges,,,,,7.46,,""
3/10/2019,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
9/10/2019,00:00,,,Interest,,,,,0.44,,""
31/10/2019,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
4/11/2019,00:01,,,Charges,,,,,7.84,,""
9/11/2019,22:46,,,Credit,,,,,0.55,,""
